name,city,foyear,president,type,websiteUrl
,,,,,
"جامعة أم القرى
","مكة المكرمة
","1401هـ
","أ. د. معدي بن محمد آل مذهب
","حكومي
","www.uqu.edu.sa
"
"جامعة الملك سعود
","الرياض
","1377هـ
","بدران بن عبدالرحمن العمر
","حكومي
","www.ksu.edu.sa
"
"الجامعة الإسلامية
","المدينة المنورة
","1381هـ
","محمد بن علي بن فراج العقلا
","حكومي
","www.iu.edu.sa
"
"جامعة الملك فهد للبترول والمعادن
","الظهران
","1383هـ
","خالد بن صالح السلطان
","حكومي
","www.kfupm.edu.sa
"
"جامعة الملك عبد العزيز
","جدة
","1387هـ
","الدكتور / عبدالرحمن بن عبيد اليوبي
","حكومي
","www.kau.edu.sa
"
"جامعة الإمام محمد بن سعود الإسلامية
","الرياض
","1394هـ
","سليمان بن عبد الله أبا الخيل
","حكومي
","www.imamu.edu.sa
"
"جامعة الملك فيصل
","الاحساء
","1395هـ
","يوسف بن محمد الجندان
","حكومي
","www.kfu.edu.sa
"
"جامعة الملك خالد
","أبها
","1419هـ
","عبدالرحمن بن حمد الداودر
","حكومي
","www.kku.edu.sa
"
"دور المعلم في تربية الأجيال ونهضتها
","الرياض
","1981هـ
","الإسلامي الشيخ محمّد إلياس العطار القادري
","حكومي
","[1]
"
"جامعة الأمير سلطان
","الرياض
","1421هـ
","أحمد بن صالح اليماني
","أهلي
","www.psu.edu.sa
"
"الجامعة العربية المفتوحة
","الرياض
","1421هـ
","عبد الله بن إبراهيم السلامة
","أهلي
","www.arabou.org.sa
"
"جامعة المدينة العالمية
","ماليزيا
","1423هـ
","محمد بن خليفة التميمي
","أهلي
","[2]
"
"جامعة اليمامة
","الرياض
","1423هـ
","أحمد بن محمد العيسى
","أهلي
","www.alyamamah.edu.sa
"
"جامعة القصيم
","بريدة
","1424هـ
","خالد بن عبد الرحمن الحمودي
","حكومي
","www.qu.edu.sa
"
"جامعة طيبة
","المدينة المنورة
","1424هـ
","منصور بن محمد النزهة
","حكومي
","www.taibahu.edu.sa
"
"جامعة الطائف
","الطائف
","1424هـ
","عبد الإله بن عبد العزيز باناجه
","حكومي
","www.tu.edu.sa
"
"جامعة الملك سعود بن عبد العزيز للعلوم الصحية
","الرياض
","1425هـ
","بندر بن عبد المحسن القناوي
","حكومي
","www.ksau-hs.edu.sa
"
"جامعة الباحة
","الباحة
","1425هـ
","سعد بن محمد الحريقي
","حكومي
","www.bu.edu.sa
"
"جامعة حائل
","حائل
","1426هـ
","أحمد بن محمد السيف
","حكومي
","www.uoh.edu.sa
"
"جامعة الجوف
","الجوف
","1426هـ
","محمد بن عمر بدير
","حكومي
","www.ju.edu.sa
"
"جامعة جازان
","جازان
","1426هـ
","الدكتور مرعي بن حسين القحطاني
","حكومي
","www.jazanu.edu.sa
"
"جامعة نجران
","نجران
","1427هـ
","محمد بن إبراهيم الحسن
","حكومي
","www.nu.edu.sa
"
"جامعة تبوك
","تبوك
","1427هـ
","عبد العزيز بن سعود العنزي
","حكومي
","www.ut.edu.sa
"
"جامعة الأميرة نورة بنت عبد الرحمن
","الرياض
","1427هـ
","الأميرة الجوهرة بنت فهد بن محمد آل سعود
","حكومي
","www.rug.edu.sa
"
"جامعة الملك عبد الله للعلوم و التكنولوجيا
","ثول
","1428هـ
","البرفيسور تشون فونغ شي
","حكومي
","www.kaust.edu.sa
"
"جامعة الفيصل
","الرياض
","1428هـ
","آلن جوديرج
","أهلي
","www.kff.com
"
"جامعة الحدود الشمالية
","عرعر
","1429هـ
","أسامة بن صادق طيب (بالتكليف)
","حكومي
","www.nbu.edu.sa
"
"جامعة الأمير محمد بن فهد
","الخبر
","1429هـ
","عيسى بن حسن الأنصاري
","أهلي
","www.pmu.edu.sa
"
"جامعة الأمير فهد بن سلطان
","تبوك
","1429هـ
","رياض شديد
","أهلي
","http://www.fbsc.edu.sa/
"
"جامعة دار العلوم
","الرياض
","1429هـ
","عبيد بن سعد العبدلي
","أهلي
","www.dau.edu.sa
"
"جامعة الدمام
","الدمام
","1430هـ
","عبد الله بن محمد الربيش
","حكومي
","http://www.ud.edu.sa/web/
"
"جامعة الخرج
","الخرج
","1430هـ
","عبد الرحمن بن محمد العاصمي
","حكومي
","www.ku.edu.sa
"
"جامعة شقراء
","شقراء
","1430هـ
","سعيد بن تركي الملا
","حكومي
","www.su.edu.sa
"
"جامعة المجمعة
","المجمعة
","1430هـ
","خالد بن سعد المقرن
","حكومي
","www.mu.edu.sa
"
